,Name,Price,Rating,Images,Links
0,"Xiaomi 14 CIVI (Shadow Black, 256 GB)","₹39,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/8/w/-original-imahfpwvcfvxvqfh.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-shadow-black-256-gb/p/itmdf7287cef4f11?pid=MOBHFGU7EJXG5M4M&lid=LSTMOBHFGU7EJXG5M4MLX4JLR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBHFGU7EJXG5M4M.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
1,"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹43,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/8/w/-original-imahfpwvcfvxvqfh.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-shadow-black-512-gb/p/itmdf7287cef4f11?pid=MOBHFGU75KAEJQGN&lid=LSTMOBHFGU75KAEJQGNZW1SUF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBHFGU75KAEJQGN.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
2,"Xiaomi 14 CIVI (Matcha Green, 512 GB)","₹43,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/2/z/-original-imahfpwv6yzawcuc.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-matcha-green-512-gb/p/itm79eae844cf78a?pid=MOBHFGU7HKHZCJGE&lid=LSTMOBHFGU7HKHZCJGERFB280&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBHFGU7HKHZCJGE.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
3,"Xiaomi 14 CIVI (Matcha Green, 256 GB)","₹39,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/2/z/-original-imahfpwv6yzawcuc.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-matcha-green-256-gb/p/itm79eae844cf78a?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSSOOXJU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBHFGU7DP9WMCHS.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
4,"Xiaomi 14 CIVI (Aqua Blue, 512 GB)","₹44,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/k/v/-original-imah34gxnuk2n2ek.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-aqua-blue-512-gb/p/itm94f0116ab98d9?pid=MOBH3YHAFG3FGTRF&lid=LSTMOBH3YHAFG3FGTRFKVWYTD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBH3YHAFG3FGTRF.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
5,"Mi 11 Lite (Vinyl Black, 128 GB)","₹23,999",4.2,https://rukminim2.flixcart.com/image/312/312/kq6yefk0/mobile/b/2/f/11-lite-m2101k9ai-mi-original-imag496egxryygvz.jpeg?q=70,https://www.flipkart.com//mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR9UUSWD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBG3VSKRKGZKJAR.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
6,"Redmi 7A (Matte Black, 16 GB)","₹6,399",4.3,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile-refurbished/m/j/w/redmi-7a-32-d-mzb7800in-mi-2-original-imafg27hkgpkhsdy.jpeg?q=70,https://www.flipkart.com//redmi-7a-matte-black-16-gb/p/itm117b7c03ad185?pid=MOBFHZ4B6X8WPSRK&lid=LSTMOBFHZ4B6X8WPSRK2SAD5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBFHZ4B6X8WPSRK.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
7,"Redmi 7A (Matte Black, 32 GB)","₹6,799",4.3,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile-refurbished/m/j/w/redmi-7a-32-d-mzb7800in-mi-2-original-imafg27hkgpkhsdy.jpeg?q=70,https://www.flipkart.com//redmi-7a-matte-black-32-gb/p/itm117b7c03ad185?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH75LXJJZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBFHZ4BRKSMDXH7.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
8,"Xiaomi 14 CIVI (Cruise Blue, 256 GB)","₹39,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/e/-original-imahfpwvvyctag2h.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-cruise-blue-256-gb/p/itm34da1cf159d63?pid=MOBHFGU7WVYJPNEV&lid=LSTMOBHFGU7WVYJPNEVNDHOZL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBHFGU7WVYJPNEV.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
9,"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 128 GB)","₹21,199",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/j/d/11t-pro-5g-hyperphone-2107113si-xiaomi-original-imah27t2tsysjk6z.jpeg?q=70,https://www.flipkart.com//xiaomi-11t-pro-5g-hyperphone-celestial-magic-128-gb/p/itm7124fdf6f4b04?pid=MOBGAU545V4QSFFP&lid=LSTMOBGAU545V4QSFFPEN1WF0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBGAU545V4QSFFP.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
10,"Redmi 7A (Matte Blue, 16 GB)","₹6,499",4.3,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile-refurbished/t/h/b/redmi-7a-16-a-mzb7799in-mi-2-original-imafg27hramfktfs.jpeg?q=70,https://www.flipkart.com//redmi-7a-matte-blue-16-gb/p/itm117b7c03ad185?pid=MOBFHZ4BZ4HZ3UZ9&lid=LSTMOBFHZ4BZ4HZ3UZ9RUXKTR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBFHZ4BZ4HZ3UZ9.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
11,"Mi 11 Lite (Jazz Blue, 128 GB)","₹21,999",4.2,https://rukminim2.flixcart.com/image/312/312/kq6yefk0/mobile/i/w/m/11-lite-m2101k9ai-mi-original-imag496gkgqjrvvg.jpeg?q=70,https://www.flipkart.com//mi-11-lite-jazz-blue-128-gb/p/itmac6203bae9394?pid=MOBG3VSKEVZ3JQVM&lid=LSTMOBG3VSKEVZ3JQVMEAH3XH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBG3VSKEVZ3JQVM.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
12,"Mi 11 Lite (Vinyl Black, 128 GB)","₹21,999",4.2,https://rukminim2.flixcart.com/image/312/312/kq6yefk0/mobile/b/2/f/11-lite-m2101k9ai-mi-original-imag496egxryygvz.jpeg?q=70,https://www.flipkart.com//mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKHGETEBVM&lid=LSTMOBG3VSKHGETEBVMNKGWJP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBG3VSKHGETEBVM.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
13,"Xiaomi 14 CIVI (Panda White, 512 GB)","₹44,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/m/-original-imah34gxy5562pgz.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-panda-white-512-gb/p/itm2923c672161ab?pid=MOBH3YHARFSTRHHT&lid=LSTMOBH3YHARFSTRHHTSUBEK8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBH3YHARFSTRHHT.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
14,"Mi 10T (Cosmic Black, 128 GB)","₹17,975",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/a/6/10t-5g-mzb07zain-mi-original-imagregtwqymre6u.jpeg?q=70,https://www.flipkart.com//mi-10t-cosmic-black-128-gb/p/itm868408729a66b?pid=MOBGRFKNZAFK2WHS&lid=LSTMOBGRFKNZAFK2WHSQVBUKJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBGRFKNZAFK2WHS.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
15,"Mi 10T (Cosmic Black, 128 GB)","₹37,999",4.1,https://rukminim2.flixcart.com/image/312/312/kg6vfrk0/mobile/h/m/z/mi-10t-mzb07zain-original-imafwhbyyvhd3g9v.jpeg?q=70,https://www.flipkart.com//mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZNCMVPHMZ&lid=LSTMOBFWAFZNCMVPHMZGY9EBF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBFWAFZNCMVPHMZ.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
16,"Xiaomi 14 CIVI (Hot Pink, 512 GB)","₹44,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/q/u/-original-imah34gx5euj4gqz.jpeg?q=70,https://www.flipkart.com//xiaomi-14-civi-hot-pink-512-gb/p/itma806668ba2f45?pid=MOBH3YHAWYUWU4SH&lid=LSTMOBH3YHAWYUWU4SHQAUM1O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBH3YHAWYUWU4SH.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
17,"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 256 GB)","₹26,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/i/k/11t-pro-5g-hyperphone-mzb0aivin-xiaomi-original-imah53wtzrxhtk99.jpeg?q=70,https://www.flipkart.com//xiaomi-11t-pro-5g-hyperphone-meteorite-black-256-gb/p/itm7124fdf6f4b04?pid=MOBGB23HGZNGPG38&lid=LSTMOBGB23HGZNGPG38QCWNQP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBGB23HGZNGPG38.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
18,"Redmi Note 5 Pro (Black, 64 GB)","₹9,999",4.5,https://rukminim2.flixcart.com/image/312/312/jdhp47k0/mobile/e/h/e/redmi-note-5-pro-na-original-imaf2ashnnbxxks5.jpeg?q=70,https://www.flipkart.com//redmi-note-5-pro-black-64-gb/p/itmf2fc3xgmxnhpx?pid=MOBF28FTQPHUPX83&lid=LSTMOBF28FTQPHUPX83UXZKVL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBF28FTQPHUPX83.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
19,"Redmi 9 (Carbon Black, 64 GB)","₹10,999",4.3,https://rukminim2.flixcart.com/image/312/312/kex5ci80/mobile/x/w/r/mi-redmi-9-m2006c3mii-original-imafvhqqcyp9z5f4.jpeg?q=70,https://www.flipkart.com//redmi-9-carbon-black-64-gb/p/itm4fb151383983b?pid=MOBFVHMPGATFZXWR&lid=LSTMOBFVHMPGATFZXWRJATIYV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=f2b6e153-ce9d-4b5c-8435-1015f77b16b6.MOBFVHMPGATFZXWR.SEARCH&ppt=None&ppn=None&ssid=z6se2944sg0000001737276412141
